,anio_int,Numero de leyes,ano,areacoca,index_right,MPIO_CCNCT,CODDEPTO,CODMPIO_manual,Year_manual,Erradication_manual,CODMPIO_aerea,Year_aerea,Erradication_aerea,YEAR,BASE_COCA_incaut,BASUCO_incaut,COCAINA_incaut,HEROINA_incaut,MARIHUANA_incaut
0,2006,2,2006,64948.7,21760931.0,1674566945,1305590.0,1314397313.0,41054796.0,13769613.89,1553770508.0,53652476.0,100295563.6,0.0,0.0,0.0,0.0,0.0,0.0
1,2007,6,2007,83806.86,24755607.0,1892511588,1653105.0,1665817363.0,55963188.0,32787909.99,1720265530.0,57657096.0,101880019.21,0.0,0.0,0.0,0.0,0.0,0.0
2,2008,5,2008,67348.27,24324167.0,1820505818,1364618.0,1377117059.0,49826512.0,57382802.46,1569871215.0,56828408.0,88520282.51,0.0,0.0,0.0,0.0,0.0,0.0
3,2009,2,2009,58660.23,22998869.0,1724839747,1493604.0,1507202190.0,58277072.0,32720002.580000002,1482079945.0,57131942.0,58770880.63,0.0,0.0,0.0,0.0,0.0,0.0
4,2010,4,2010,50142.05,20753777.0,1543788085,1243990.0,1254543966.0,45271230.0,38471312.82,1252147427.0,47799810.0,51573456.58,55833780.0,10339319279.0,83042208.0,9625085066.0,6326267.0,2650572353.0
5,2011,5,2011,55339.924,21288467.0,1585650470,1312425.0,1322935242.0,43894097.0,34721355.57,1359560579.0,49679744.0,55687112.36,52567540.0,14347322715.0,72028514.0,6688743316.0,16633161.0,1645292231.0
6,2012,4,2012,47747.5889,19246920.0,1414634855,1204742.0,1214998004.0,43304276.0,13651570.48,1168084121.0,46231736.0,45261306.08,51475008.0,13698198474.0,45339973.0,19723977257.0,13788679.0,7142466850.0
7,2013,5,2013,48191.2259,19987623.0,1459828572,1253526.0,1264432057.0,46085622.0,12554043.749,1086567279.0,41338968.0,21599281.830000002,52507092.0,12133692998.0,83303860.0,9208812730.0,5327746.0,4723941468.0
8,2014,1,2014,69135.6708,22960288.0,1682075352,1372038.0,1383355042.0,48928116.0,4376663.0032,1357888391.0,50706478.0,33700083.3,60605288.0,5417689107.0,92037448.0,14113159402.0,93296.0,1309116795.0
9,2015,2,2015,96089.36756118,23840655.0,1738532901,1560838.0,1574928195.0,57759975.0,5220015.636,1471976883.0,55714750.0,21511974.45,62487165.0,10695096999.0,104645962.0,36782550982.0,12772704.0,2418988648.0
10,2016,2,2016,146147.63,24098649.0,1751846420,1699165.0,1715586245.0,67596480.0,8045389.4728,0.0,0.0,0.0,67374720.0,12622269062.0,84665032.0,161484645307.0,11682998.0,1770680764.0
11,2017,1,2017,171498.75657012983,25350132.0,1827087581,1774710.0,1793056182.0,74743969.0,46365866.4129,0.0,0.0,0.0,75635483.0,22168828144.0,127297372.0,259047085703.0,34735473.0,5080832424.0
12,2018,7,2018,169013.0693816,22586166.0,1614393865,1454927.0,1471545304.0,63540766.0,50688167.1869,0.0,0.0,0.0,69156860.0,13430462590.0,39961202.0,210261466926.0,18252628.0,6913923061.0
13,2019,21,2019,154475.75747616,19794378.0,1414272984,1294344.0,1308905933.0,56168580.0,78468914.5983,0.0,0.0,0.0,58252188.0,22686225750.0,21185345.0,138002546673.0,19282024.0,11374995796.0
14,2020,1,2020,142783.8868231838,18307488.0,1310113168,1254506.0,1268784365.0,55000560.0,82453090.07758,0.0,0.0,0.0,54350120.0,28464718749.0,124498428.0,60950796419.0,87703102.0,4868862960.0
